wkt_geom,coddistbar,Barrio ,Distrito,coddistrit,codbarrio,gis_gis_barrios_area,geo_point_2d,Total,Porcentaje total,Porcentaje solos,porcentaje solas,porcentaje solos hom
"Polygon ((-0.37058709783843891 39.47720719075633156, -0.37162189948494534 39.47675763985243691, -0.37293277763844551 39.47694494505937257, -0.37299319872959463 39.47680667482842409, -0.373142253677751 39.47662986864985868, -0.37325469787124155 39.47626755461477188, -0.37344386987263978 39.47629885689669749, -0.37347584411844853 39.47583563611740942, -0.3735914123346783 39.47548690547426986, -0.37369197306345603 39.47536305519982136, -0.37379313377205592 39.47539687217176407, -0.37416525278189139 39.47483322319487797, -0.37422491205381364 39.47461836932580326, -0.37440131673580956 39.47435209147727164, -0.37454210843751262 39.47400843403079307, -0.37424468184542631 39.47393865243772382, -0.37423318206113138 39.47351047507022059, -0.37566681353072873 39.47381313237142564, -0.37608383741686829 39.47389011522692215, -0.37670216693592706 39.47392659710005347, -0.37693769256118181 39.47392290485161226, -0.37710041857090254 39.47403918772499054, -0.37685296959033115 39.47426332658812242, -0.377060068585858 39.47441664631030989, -0.37690064102213316 39.4753724751140993, -0.37767808818334353 39.47539002153763477, -0.37771196353558917 39.47557096181559189, -0.37832223467627896 39.47570635009769546, -0.37877110832304689 39.47561288389059797, -0.3791034041309429 39.47562488325835517, -0.37926891068660168 39.47562861592318484, -0.37916727410148504 39.47614882480005605, -0.37917038665054531 39.47654978631578615, -0.37847927560674155 39.47665131176093212, -0.37798022736220255 39.4766490613412131, -0.37791870558033258 39.47691343252297003, -0.3779369327121872 39.47700842709890168, -0.37723511695679329 39.47704664198501945, -0.37720293867497467 39.47722609151588813, -0.37688133431022469 39.47727738949275533, -0.37687761291219024 39.47737640217124522, -0.37620432180756597 39.47889719116459162, -0.37413381414528651 39.47933688765807858, -0.37280046672739342 39.47856803015919525, -0.37256219883604558 39.4784320157111992, -0.37058709783843891 39.47720719075633156))",11,la Seu,Ciutat Vella,1,1,22.107.410.938,"{""lat"":39.47662037964931,""lon"":-0.3751184490096385}",647,"19,8","46,5","63,1","36,9"
"Polygon ((-0.37058709783843891 39.47720719075633156, -0.36976874553403255 39.47675174493576122, -0.36884724762010568 39.47646962022076167, -0.36601570037277603 39.47310826975881071, -0.36838228861531236 39.47207634657073783, -0.36866414107736006 39.47188453567212463, -0.37006071712113542 39.47233956300211588, -0.36998937963845752 39.47267127360085937, -0.37068308953075435 39.47280859003087272, -0.37085605376383768 39.47220892365270828, -0.37158848080234708 39.47230206664569607, -0.37180113764077671 39.47147807674276976, -0.37254144078109663 39.47153535662308599, -0.37369342010460732 39.4718496780505177, -0.37430392022932429 39.47188149117050671, -0.3746303636408721 39.47181680519587843, -0.37466655652777003 39.47191671956939274, -0.37496068057018539 39.47184228471881795, -0.37539878186741343 39.47166749980218725, -0.37555393968234457 39.47213946123217454, -0.37550960502945091 39.47258438624911037, -0.37524526812143472 39.47300633375911616, -0.37439287243360131 39.47270330103685865, -0.37423318206113138 39.47351047507022059, -0.37424468184542631 39.47393865243772382, -0.37454210843751262 39.47400843403079307, -0.37440131673580956 39.47435209147727164, -0.37422491205381364 39.47461836932580326, -0.37416525278189139 39.47483322319487797, -0.37379313377205592 39.47539687217176407, -0.37369197306345603 39.47536305519982136, -0.3735914123346783 39.47548690547426986, -0.37347584411844853 39.47583563611740942, -0.37344386987263978 39.47629885689669749, -0.37325469787124155 39.47626755461477188, -0.373142253677751 39.47662986864985868, -0.37299319872959463 39.47680667482842409, -0.37293277763844551 39.47694494505937257, -0.37162189948494534 39.47675763985243691, -0.37058709783843891 39.47720719075633156))",12,la Xerea,Ciutat Vella,1,2,3.116.499.375,"{""lat"":39.47414294396385,""lon"":-0.37093250902362246}",1016,"23,8","41,9","73,7","26,3"
"Polygon ((-0.38105459271516678 39.48223174307487682, -0.38023471601096398 39.48212317402646221, -0.37910912559876542 39.48197166921414691, -0.37795482932007729 39.48161679911832778, -0.37663072437763712 39.48100584724437567, -0.37503600600613218 39.48003742521532899, -0.37434476900640734 39.47950381252587704, -0.37413381414528651 39.47933688765807858, -0.37620432180756597 39.47889719116459162, -0.37687761291219024 39.47737640217124522, -0.37688133431022469 39.47727738949275533, -0.37720293867497467 39.47722609151588813, -0.37723511695679329 39.47704664198501945, -0.3779369327121872 39.47700842709890168, -0.37791870558033258 39.47691343252297003, -0.37798022736220255 39.4766490613412131, -0.37847927560674155 39.47665131176093212, -0.37917038665054531 39.47654978631578615, -0.38043579348039108 39.47630355920541945, -0.38112952097765568 39.47622910738565594, -0.381915938494166 39.47614323551207605, -0.38245845883600466 39.47599329859702522, -0.38309864319691261 39.47585456728167941, -0.38373641805914943 39.47576082216009041, -0.38375759134660881 39.4754865394297525, -0.38416788261269663 39.47554982863047712, -0.38419083748645666 39.47577106097920563, -0.38386428209174667 39.47760148693517834, -0.3837319101822565 39.47834173261104951, -0.38302417378575648 39.48028068690628345, -0.38339523622102922 39.4811583914966775, -0.38105459271516678 39.48223174307487682))",13,el Carme,Ciutat Vella,1,3,3840678.75,"{""lat"":39.47904419159028,""lon"":-0.3799855271302711}",1341,"18,5","45,9","71,4","28,6"
"Polygon ((-0.38112952097765568 39.47622910738565594, -0.38106431137692925 39.47543036826382945, -0.38080757813410482 39.47537953805943545, -0.38099243445441006 39.47509992725919403, -0.38124876689836013 39.47467778610350564, -0.38130847260947465 39.47442238079274546, -0.38121457168496037 39.47400136459359032, -0.38122301439545081 39.47377633486350845, -0.38116064627623725 39.47359925777832501, -0.38104918806153104 39.47345260514548215, -0.38065287065157849 39.47319142644163747, -0.38045857166017055 39.47314200278964336, -0.38071508923441372 39.47279193723273494, -0.38099465132129434 39.472446903827759, -0.38095131454532105 39.4723243083291635, -0.37981708324473185 39.47240683690439766, -0.37979397938872383 39.47199641559542016, -0.37975044920104695 39.47122068628757319, -0.38118689201883815 39.47084767838985186, -0.38146153614742456 39.47088539798559026, -0.38268383676677875 39.47089491561099095, -0.38356466064653788 39.47059494666140012, -0.38392571662677766 39.4715444863847793, -0.38405533707630646 39.4718852344951685, -0.38404679242928536 39.4721327843096077, -0.38402304457607311 39.47278538810525816, -0.38397929609056758 39.47373932750992509, -0.38416788261269663 39.47554982863047712, -0.38375759134660881 39.4754865394297525, -0.38373641805914943 39.47576082216009041, -0.38309864319691261 39.47585456728167941, -0.38245845883600466 39.47599329859702522, -0.381915938494166 39.47614323551207605, -0.38112952097765568 39.47622910738565594))",14,el Pilar,Ciutat Vella,1,4,16.160.615.625,"{""lat"":39.47324431211686,""lon"":-0.3822881506366211}",851,"15,6","37,7","65,7","34,3"
"Polygon ((-0.37917038665054531 39.47654978631578615, -0.37916727410148504 39.47614882480005605, -0.37926891068660168 39.47562861592318484, -0.3791034041309429 39.47562488325835517, -0.37877110832304689 39.47561288389059797, -0.37832223467627896 39.47570635009769546, -0.37771196353558917 39.47557096181559189, -0.37767808818334353 39.47539002153763477, -0.37690064102213316 39.4753724751140993, -0.377060068585858 39.47441664631030989, -0.37685296959033115 39.47426332658812242, -0.37710041857090254 39.47403918772499054, -0.37693769256118181 39.47392290485161226, -0.37670216693592706 39.47392659710005347, -0.37608383741686829 39.47389011522692215, -0.37566681353072873 39.47381313237142564, -0.3768535550432392 39.47221835251560407, -0.3778093246770865 39.47091113410455421, -0.37843261673450534 39.47137563642196056, -0.37885718779383537 39.47156088505391835, -0.37921356075680362 39.47182116895218229, -0.37979397938872383 39.47199641559542016, -0.37981708324473185 39.47240683690439766, -0.38095131454532105 39.4723243083291635, -0.38099465132129434 39.472446903827759, -0.38071508923441372 39.47279193723273494, -0.38045857166017055 39.47314200278964336, -0.38065287065157849 39.47319142644163747, -0.38104918806153104 39.47345260514548215, -0.38116064627623725 39.47359925777832501, -0.38122301439545081 39.47377633486350845, -0.38121457168496037 39.47400136459359032, -0.38130847260947465 39.47442238079274546, -0.38124876689836013 39.47467778610350564, -0.38099243445441006 39.47509992725919403, -0.38080757813410482 39.47537953805943545, -0.38106431137692925 39.47543036826382945, -0.38112952097765568 39.47622910738565594, -0.38043579348039108 39.47630355920541945, -0.37917038665054531 39.47654978631578615))",15,el Mercat,Ciutat Vella,1,5,17.279.521.875,"{""lat"":39.47383025182648,""lon"":-0.3788324997586044}",701,"17,1","51,2","65,5","34,5"
"Polygon ((-0.37566681353072873 39.47381313237142564, -0.37423318206113138 39.47351047507022059, -0.37439287243360131 39.47270330103685865, -0.37524526812143472 39.47300633375911616, -0.37550960502945091 39.47258438624911037, -0.37555393968234457 39.47213946123217454, -0.37539878186741343 39.47166749980218725, -0.37496068057018539 39.47184228471881795, -0.37466655652777003 39.47191671956939274, -0.3746303636408721 39.47181680519587843, -0.37430392022932429 39.47188149117050671, -0.37369342010460732 39.4718496780505177, -0.37254144078109663 39.47153535662308599, -0.37180113764077671 39.47147807674276976, -0.37158848080234708 39.47230206664569607, -0.37085605376383768 39.47220892365270828, -0.37068308953075435 39.47280859003087272, -0.36998937963845752 39.47267127360085937, -0.37006071712113542 39.47233956300211588, -0.36866414107736006 39.47188453567212463, -0.37042189845868867 39.47031176838516586, -0.37112551749880224 39.46974212517277181, -0.37291491396185961 39.46850335057902015, -0.37387669863934508 39.46780889833647166, -0.37491579380279044 39.46712519299865818, -0.37652726010842674 39.46735076722082169, -0.37695411383000127 39.4674549949185689, -0.37885836944844103 39.46791237418445064, -0.37985190179745104 39.46815099000401972, -0.38088887681445699 39.46854823056450812, -0.38138093500631537 39.46873499087129744, -0.38345250083747628 39.4703311659887035, -0.38356466064653788 39.47059494666140012, -0.38268383676677875 39.47089491561099095, -0.38146153614742456 39.47088539798559026, -0.38118689201883815 39.47084767838985186, -0.37975044920104695 39.47122068628757319, -0.37979397938872383 39.47199641559542016, -0.37921356075680362 39.47182116895218229, -0.37885718779383537 39.47156088505391835, -0.37843261673450534 39.47137563642196056, -0.3778093246770865 39.47091113410455421, -0.3768535550432392 39.47221835251560407, -0.37566681353072873 39.47381313237142564))",16,Sant Francesc,Ciutat Vella,1,6,4.386.583.125,"{""lat"":39.47010643870186,""lon"":-0.3760489821791233}",1491,"24,3","42,5","72,9","27,1"
"Polygon ((-0.37652726010842674 39.46735076722082169, -0.37491579380279044 39.46712519299865818, -0.37445786481018567 39.46612838467706297, -0.37385396364887274 39.46495711786975846, -0.37180544170500535 39.46451441261305604, -0.36977761979649465 39.4640631401399844, -0.36829064820816232 39.46373668222999953, -0.36668716395206996 39.46339856563056969, -0.36501321024036687 39.46302278510320605, -0.36332988655117415 39.46266479459983145, -0.36224094279847086 39.46259053559918328, -0.36500819225954317 39.46142361989112146, -0.3652494236270179 39.46132549697072278, -0.36612023695902773 39.46096236207457508, -0.36627881263439843 39.46089838986088694, -0.36826756645517333 39.46005158891438214, -0.36924433894988212 39.45963227231843007, -0.37144150050021918 39.45872707175167449, -0.37396708710986559 39.45766257817276568, -0.37576872356134727 39.45691952391809565, -0.3771822133744191 39.45635685854213648, -0.37843396786447897 39.45582655385518223, -0.37983571513121284 39.45522755544162408, -0.3812388903732512 39.45462857195774831, -0.37872618148806059 39.46131498162627338, -0.37863090063630045 39.46156958366960765, -0.37807798486967692 39.46304355553303367, -0.37686057947617096 39.466425889299245, -0.37652726010842674 39.46735076722082169))",21,Russafa,l'Eixample,2,1,8.777.031.875,"{""lat"":39.46119052871859,""lon"":-0.3736955089500449}",5227,"20,5","47,3","77,1","22,9"
"Polygon ((-0.36601570037277603 39.47310826975881071, -0.36453615919605226 39.47121442118479706, -0.36377884112078568 39.47024231325329424, -0.36313133483645105 39.46942134607540709, -0.36577629936785172 39.46836425097892942, -0.36692955495169383 39.46787239036333261, -0.36807067271416233 39.46739375636635572, -0.36917136438920994 39.46692770897359992, -0.37019753169579878 39.46649148632486259, -0.3712050269765847 39.46606835427016335, -0.37385396364887274 39.46495711786975846, -0.37445786481018567 39.46612838467706297, -0.37491579380279044 39.46712519299865818, -0.37387669863934508 39.46780889833647166, -0.37291491396185961 39.46850335057902015, -0.37112551749880224 39.46974212517277181, -0.37042189845868867 39.47031176838516586, -0.36866414107736006 39.47188453567212463, -0.36838228861531236 39.47207634657073783, -0.36601570037277603 39.47310826975881071))",22,el Pla del Remei,l'Eixample,2,2,38.691.784.375,"{""lat"":39.46901556067296,""lon"":-0.3689645601781864}",1976,"26,9","39,1","77,5","22,5"
"Polygon ((-0.3624005633385895 39.4683822658261505, -0.36176615725467715 39.46719672389481559, -0.36106726576336451 39.46591062665864058, -0.36015202564490989 39.46414214560331146, -0.35982657870097534 39.4633554928843111, -0.36224094279847086 39.46259053559918328, -0.36332988655117415 39.46266479459983145, -0.36501321024036687 39.46302278510320605, -0.36668716395206996 39.46339856563056969, -0.36829064820816232 39.46373668222999953, -0.36977761979649465 39.4640631401399844, -0.37180544170500535 39.46451441261305604, -0.37385396364887274 39.46495711786975846, -0.3712050269765847 39.46606835427016335, -0.37019753169579878 39.46649148632486259, -0.36917136438920994 39.46692770897359992, -0.36807067271416233 39.46739375636635572, -0.36692955495169383 39.46787239036333261, -0.36577629936785172 39.46836425097892942, -0.36313133483645105 39.46942134607540709, -0.3624005633385895 39.4683822658261505))",23,la Gran Via,l'Eixample,2,3,4.685.680.625,"{""lat"":39.46554379797746,""lon"":-0.3655204807447221}",3062,"24,7","44,4","77,5","22,5"
"Polygon ((-0.38302417378575648 39.48028068690628345, -0.3837319101822565 39.47834173261104951, -0.38386428209174667 39.47760148693517834, -0.38419083748645666 39.47577106097920563, -0.38416788261269663 39.47554982863047712, -0.38397929609056758 39.47373932750992509, -0.38402304457607311 39.47278538810525816, -0.38404679242928536 39.4721327843096077, -0.38405533707630646 39.4718852344951685, -0.38392571662677766 39.4715444863847793, -0.38356466064653788 39.47059494666140012, -0.38345250083747628 39.4703311659887035, -0.38409352445815781 39.46935463720284076, -0.38437538116711412 39.46976187339215159, -0.38540875095701976 39.47122652774154261, -0.38592523705983767 39.47194533834911567, -0.38705489808218796 39.47349772796132328, -0.3875794077362979 39.47421671175211344, -0.38777197773606814 39.47448680048657366, -0.3878534230691687 39.47460124135147908, -0.3882070643357225 39.47509116123679007, -0.38864963267935382 39.47570919271431933, -0.389437480552979 39.47680795107222451, -0.3899642688419297 39.47754499308771159, -0.39046625750495106 39.4782454316172462, -0.38855582577186071 39.47872051215826872, -0.38737365742726321 39.47920744133291748, -0.38670530110268025 39.47953473818859749, -0.3861516700240657 39.4798060635653485, -0.38348024687795645 39.48111976612418772, -0.38339523622102922 39.4811583914966775, -0.38302417378575648 39.48028068690628345))",31,el Botànic,Extramurs,3,1,37.011.559.375,"{""lat"":39.47613454247241,""lon"":-0.3859679315140105}",1407,20,50,"75,7","24,3"
